PW_MODEL_PW2281S_20_6,,
Capacity=0.916AH,,
SOC(%),Open Voltage(V),ESR(ohm)
0,1.9,0.546
1,2.108,0.488
2,2.15,0.482
3,2.17,0.48
4,2.182,0.478
5,2.192,0.478
6,2.2,0.476
7,2.21,0.474
8,2.218,0.472
9,2.226,0.47
10,2.234,0.47
11,2.24,0.468
12,2.248,0.468
13,2.254,0.466
14,2.26,0.464
15,2.264,0.464
16,2.27,0.464
17,2.274,0.462
18,2.278,0.462
19,2.284,0.462
20,2.288,0.46
21,2.292,0.46
22,2.294,0.46
23,2.298,0.458
24,2.302,0.458
25,2.306,0.458
26,2.308,0.458
27,2.312,0.458
28,2.314,0.456
29,2.318,0.456
30,2.32,0.456
31,2.324,0.456
32,2.326,0.456
33,2.328,0.456
34,2.332,0.456
35,2.334,0.454
36,2.336,0.454
37,2.338,0.454
38,2.34,0.454
39,2.342,0.454
40,2.344,0.454
41,2.346,0.454
42,2.348,0.454
43,2.35,0.454
44,2.352,0.452
45,2.354,0.452
46,2.356,0.452
47,2.358,0.452
48,2.358,0.452
49,2.36,0.452
50,2.362,0.452
51,2.364,0.452
52,2.366,0.45
53,2.368,0.45
54,2.368,0.45
55,2.37,0.45
56,2.372,0.45
57,2.374,0.448
58,2.376,0.448
59,2.378,0.448
60,2.38,0.448
61,2.382,0.448
62,2.384,0.448
63,2.386,0.448
64,2.388,0.448
65,2.39,0.448
66,2.392,0.448
67,2.394,0.448
68,2.398,0.448
69,2.4,0.448
70,2.402,0.446
71,2.404,0.446
72,2.408,0.446
73,2.41,0.446
74,2.414,0.446
75,2.416,0.446
76,2.42,0.446
77,2.424,0.446
78,2.428,0.446
79,2.432,0.446
80,2.436,0.446
81,2.442,0.446
82,2.446,0.446
83,2.452,0.446
84,2.458,0.446
85,2.466,0.446
86,2.472,0.448
87,2.482,0.448
88,2.49,0.448
89,2.5,0.448
90,2.51,0.448
91,2.522,0.45
92,2.534,0.45
93,2.544,0.45
94,2.556,0.452
95,2.566,0.452
96,2.572,0.452
97,2.578,0.45
98,2.582,0.45
99,2.584,0.45
100,2.586,0.45
