PW_MODEL_PW2281S_20_6 ,,
Capacity=1.5147AH,,
SOC(%), Open Voltage(V), ESR(ohm)
0,2.998626708,0.104312898
1,3.179170131,0.098419188
2,3.270288705,0.09584427
3,3.323636769,0.094070436
4,3.360744954,0.093069078
5,3.389730693,0.092096328
6,3.412569522,0.091438293
7,3.431556702,0.09092331
8,3.448383093,0.090379716
9,3.462789774,0.089836122
10,3.474785328,0.088949202
11,3.486944676,0.088605882
12,3.497712852,0.088291167
13,3.508144857,0.087690354
14,3.517504692,0.087490083
15,3.526227237,0.087289809
16,3.534954072,0.087175368
17,3.542775393,0.086774826
18,3.550376415,0.086603166
19,3.557723523,0.086345673
20,3.56415081,0.086288451
21,3.570839883,0.08608818
22,3.577579737,0.085973739
23,3.583943367,0.085744857
24,3.590152503,0.085859298
25,3.596422434,0.085716249
26,3.602407695,0.085458756
27,3.608259201,0.085401534
28,3.614100696,0.085372926
29,3.619749069,0.085229874
30,3.625787973,0.085000992
31,3.631509303,0.08477211
32,3.636707784,0.08485794
33,3.641972781,0.08460045
34,3.646949529,0.084629058
35,3.651978492,0.084400176
36,3.657459498,0.084199905
37,3.662106513,0.084199905
38,3.666455268,0.084114075
39,3.671215296,0.083971023
40,3.675925971,0.0836277
41,3.680246115,0.083341599
42,3.68401122,0.083227158
43,3.687511683,0.083169936
44,3.690779685,0.083026887
45,3.693891048,0.082883835
46,3.696667671,0.083026887
47,3.699219705,0.082969665
48,3.701572179,0.082855224
49,3.703763724,0.082769394
50,3.705937386,0.082798005
51,3.707921505,0.082798005
52,3.709711074,0.082883835
53,3.711403371,0.082740783
54,3.712734462,0.082912446
55,3.714007617,0.082855224
56,3.715229274,0.082998276
57,3.716300727,0.082941054
58,3.717427968,0.082969665
59,3.718523025,0.083112717
60,3.719610213,0.082998276
61,3.720831156,0.083255769
62,3.722039223,0.083227158
63,3.723386049,0.083284377
64,3.724826574,0.083227158
65,3.726357222,0.083341599
66,3.727897167,0.083227158
67,3.729487896,0.083198547
68,3.731164455,0.083255769
69,3.73288107,0.083084106
70,3.734859468,0.083141328
71,3.73656249,0.083141328
72,3.738274812,0.083198547
73,3.740268945,0.083084106
74,3.742114305,0.083026887
75,3.743824482,0.083026887
76,3.745506048,0.083026887
77,3.747152568,0.083084106
78,3.749005794,0.083026887
79,3.751001358,0.083026887
80,3.752735853,0.082912446
81,3.754262925,0.082969665
82,3.755855799,0.082855224
83,3.75733137,0.082969665
84,3.758634567,0.082769394
85,3.759820461,0.082998276
86,3.761047839,0.082912446
87,3.762217284,0.083026887
88,3.763359546,0.083084106
89,3.764546157,0.083141328
90,3.76578927,0.083084106
91,3.767158269,0.083026887
92,3.76889205,0.083341599
93,3.771270276,0.083398818
94,3.774430275,0.083398818
95,3.778812648,0.083341599
96,3.78557682,0.083599092
97,3.795765639,0.083942412
98,3.811680078,0.083799363
99,3.837094545,0.084171294
100,3.875666856,0.082454682
